dataset/algo,abalone,anneal,arrhythmia,audiology,autos,balance-scale,baseball,braziltourism,breast-cancer,breast-w,bridges_version1,bridges_version2,car,cmc,colic,colic.ORIG,credit-a,credit-g,cylinder-bands,dermatology,diabetes,ecoli,glass,haberman,hayes-roth_test,hayes-roth_train,heart-c,heart-h,heart-statlog,hepatitis,hypothyroid,ionosphere,iris,kr-vs-kp,kropt,labor,letter,liver-disorders,lung-cancer,lymph,molecular-biology_promoters,monks-problems-1_test,monks-problems-1_train,monks-problems-2_test,monks-problems-2_train,monks-problems-3_test,monks-problems-3_train,mushroom,nursery,optdigits,page-blocks,pendigits,postoperative-patient-data,primary-tumor,satimage,segment,shuttle-landing-control,sick,solar-flare_1,solar-flare_2,sonar,soybean,spambase,spectf_test,spectf_train,spect_test,spect_train,splice,tae,tic-tac-toe,vehicle,vote,vowel,waveform-5000,yeast,zoo
Bagging-I-25..50-NaiveBayesUpdateable,0.236932,0.887862,0.650443,0.661947,0.589431,0.903467,0.839477,0.743629,0.729312,0.959585,0.653061,0.660952,0.845679,0.500611,0.788949,0.672283,0.782247,0.75325,0.714259,0.967896,0.76378,0.862245,0.517653,0.754902,0.581633,0.731935,0.834041,0.839286,0.834568,0.847465,0.954622,0.825773,0.953333,0.879459,0.359415,0.918661,0.642675,0.562029,0.53125,0.824844,0.906386,0.75,0.763825,0.667593,0.563609,0.972222,0.934426,0.953348,0.902479,0.91306,0.909457,0.857146,0.679487,0.487709,0.795801,0.805512,0.65926,0.928553,0.656347,0.742964,0.692909,0.917423,0.79944,0.725969,0.78125,0.862299,0.720313,0.953448,0.534059,0.694677,0.468381,0.898851,0.648329,0.79956,0.579262,0.943564
Bagging-I-25..50-NBTree,0.254622,0.981997,0.627212,0.727244,0.754007,0.858092,0.93551,0.769822,0.738112,0.97258,0.670476,0.64898,0.94811,0.532124,0.838089,0.716123,0.874879,0.7615,0.77037,0.978689,0.761719,0.87004,0.751168,0.748729,0.568182,0.603896,0.834158,0.837706,0.836574,0.856631,0.992743,0.924705,0.947619,0.987206,0.422239,0.901316,0.668059,0.694927,0.5,0.864865,0.894049,1,0.907706,0.659933,0.620316,0.998106,0.934426,1,0.968297,0.774011,0.97375,0.988342,0.68,0.476612,0.843183,0.982165,0.666667,0.983762,0.73808,0.752345,0.855289,0.935369,0.947386,0.817844,0.816667,0.896613,0.721875,0.95389,0.560927,0.921596,0.748565,0.959278,0.937229,0.853511,0.595136,0.942794
Bagging-I-25..50-NNge,0.254436,0.988686,0.642598,0.714286,0.766342,0.8688,0.93209,0.760402,0.708201,0.96495,0.495238,0.462585,0.952402,0.50792,0.831275,0.704348,0.859058,0.752,0.721164,0.957455,0.765191,0.874256,0.723025,0.712121,0.539286,0.783217,0.84461,0.810832,0.842593,0.841936,0.985272,0.926496,0.956667,0.985965,0.671414,0.891813,0.952425,0.697723,0.503125,0.799831,0.652965,1,0.880184,0.549383,0.573965,0.997685,0.934426,0.999713,0.98071,0.966523,0.968984,0.982442,0.654445,0.443658,0.89509,0.968182,0.548148,0.971434,0.704644,0.727642,0.724519,0.924191,0.939858,0.795849,0.766667,0.92139,0.713333,0.529075,0.659414,0.867432,0.69588,0.95811,0.950046,0.8485,0.608154,0.952018
Bagging-I-25..50-OneR,0.260283,0.836303,0.549937,0.464602,0.584756,0.734044,0.906716,0.774051,0.687937,0.931867,0.152381,0.152381,0.700231,0.474333,0.815217,0.666996,0.855072,0.694308,0.468254,0.51332,0.729353,0.649926,0.590343,0.728758,0.575893,0.631818,0.779291,0.80102,0.78858,0.829839,0.966684,0.866615,0.946667,0.686284,0.247968,0.833333,0.185771,0.611956,0.460227,0.755068,0.5,0.75,0.732405,0.671296,0.562975,0.808256,0.790984,0.985229,0.709722,0.350771,0.936115,0.416443,0.7,0.267529,0.606076,0.685242,0.684848,0.963768,0.586908,0.614447,0.713141,0.408785,0.791607,0.794863,0.729167,0.919786,0.7125,0.243574,0.492715,0.699374,0.517393,0.956322,0.391486,0.573229,0.405436,0.413862
Bagging-I-25..50-PART,0.249444,0.983455,0.753441,0.788875,0.745732,0.892444,0.933085,0.76699,0.738199,0.960181,0.656191,0.640952,0.963004,0.542685,0.855978,0.663043,0.869565,0.759538,0.592087,0.965505,0.755787,0.866468,0.716956,0.73366,0.673077,0.806818,0.832783,0.818878,0.826599,0.831762,0.995493,0.931624,0.944074,0.993038,0.422239,0.833333,0.94281,0.731677,0.540865,0.83446,0.898922,0.999711,0.971774,0.740741,0.615385,0.999421,0.931148,1,0.99615,0.968073,0.974663,0.986483,0.688889,0.448967,0.908522,0.97303,0.6,0.985843,0.725584,0.746925,0.776442,0.924353,0.952489,0.812533,0.78125,0.91016,0.734375,0.93908,0.590608,0.996085,0.74606,0.958908,0.878788,0.846855,0.619871,0.929043
Bagging-I-25..50-RandomForest,0.25419,0.992885,0.661504,0.755531,0.817421,0.8568,0.916169,0.762136,0.72465,0.965665,0.53619,0.533333,0.949075,0.529531,0.858092,0.669384,0.867081,0.760692,0.711523,0.963115,0.759983,0.863945,0.779206,0.706608,0.653061,0.814394,0.835644,0.816327,0.830303,0.845161,0.990532,0.932194,0.956667,0.990378,0.422239,0.880702,0.668059,0.732754,0.449219,0.83446,0.921383,0.993827,0.891936,0.483796,0.544379,1,0.930328,1,0.984143,0.980249,0.975516,0.989315,0.675926,0.441986,0.915448,0.974188,0.55,0.981939,0.725696,0.734287,0.826122,0.923042,0.951423,0.812732,0.798437,0.921314,0.723437,0.766595,0.6617,0.939457,0.746651,0.962643,0.968687,0.85595,0.621631,0.902228
Bagging-I-25..50-RandomTree,0.251547,0.989549,0.590462,0.762721,0.787534,0.84992,0.933433,0.758091,0.730451,0.970867,0.642328,0.613853,0.91223,0.511306,0.837733,0.685688,0.857337,0.7372,0.785957,0.954463,0.745908,0.853423,0.770509,0.724401,0.578572,0.784091,0.825383,0.819728,0.818519,0.841129,0.971766,0.916746,0.946667,0.975237,0.686036,0.871345,0.944208,0.719324,0.473958,0.826351,0.761006,0.982253,0.819893,0.583965,0.579882,0.993056,0.900468,1,0.966375,0.966774,0.970419,0.985664,0.65926,0.424779,0.902022,0.968783,0.561905,0.970072,0.716497,0.739024,0.815559,0.918142,0.952646,0.80855,0.755556,0.925134,0.716071,0.74232,0.636966,0.879045,0.735225,0.954023,0.952984,0.8167,0.609928,0.944994
Bagging-I-25..50-RBFNetwork,0.233179,0.967388,0.651328,0.741704,0.691986,0.903867,0.934702,0.763176,0.721678,0.96191,0.646666,0.660318,0.923032,0.531568,0.811759,0.787073,0.802029,0.7485,0.72572,0.969399,0.763021,0.854166,0.709613,0.745915,0.517857,0.784091,0.837341,0.830241,0.838272,0.866452,0.956522,0.916429,0.958333,0.885117,0.422239,0.906433,0.668059,0.666087,0.5625,0.816603,0.654874,0.473669,0.47043,0.671296,0.621302,0.53125,0.555035,0.985401,0.941101,0.943061,0.954984,0.955411,0.654445,0.426254,0.846527,0.889487,0.533333,0.964634,0.389474,0.378183,0.793269,0.888726,0.824052,0.795539,0.584722,0.919786,0.729167,0.955229,0.555188,0.709812,0.678487,0.943551,0.907071,0.854111,0.592992,0.952475
Bagging-I-25..50-REPTree,0.263802,0.969655,0.719469,0.690757,0.642277,0.8538,0.906716,0.772755,0.694306,0.956509,0.419048,0.419048,0.897714,0.546358,0.84058,0.669158,0.858103,0.745143,0.611376,0.923497,0.759505,0.835227,0.695483,0.74085,0.633117,0.765152,0.833663,0.807634,0.823809,0.819355,0.993173,0.91396,0.954815,0.9903,0.595078,0.839181,0.893663,0.713043,0.458333,0.767568,0.492017,0.980093,0.748992,0.667438,0.606509,0.994984,0.93306,0.998969,0.958738,0.9371,0.969885,0.97447,0.711111,0.43405,0.889638,0.960111,0.6,0.984447,0.733746,0.753166,0.758547,0.799902,0.93357,0.801912,0.75,0.919786,0.7125,0.525653,0.570482,0.86691,0.725768,0.9553,0.759708,0.827169,0.606084,0.418671
Bagging-I-25..50-Ridor,0.257362,0.975083,0.731295,0.748673,0.743089,0.88032,0.933467,0.768878,0.735431,0.964235,0.59619,0.580952,0.959169,0.554922,0.845788,0.81087,0.863768,0.73,0.758201,0.961749,0.759896,0.848545,0.772066,0.743464,0.627976,0.800505,0.84406,0.808163,0.833903,0.815484,0.99383,0.920228,0.954074,0.910631,0.520946,0.871345,0.668059,0.723913,0.5,0.832207,0.852036,0.75,0.72715,0.671296,0.619329,0.971561,0.86612,1,0.959769,0.971918,0.97273,0.98511,0.711111,0.453097,0.89711,0.969264,0.485714,0.983858,0.710747,0.742294,0.77297,0.908736,0.93784,0.804036,0.764773,0.917112,0.74375,0.951411,0.541942,0.941023,0.73818,0.956322,0.850926,0.841671,0.608266,0.882088
Bagging-I-25..50-SimpleLogistic,0.271457,0.989198,0.738938,0.807891,0.764634,0.863822,0.914997,0.776396,0.726398,0.964807,0.691877,0.664762,0.927452,0.512559,0.832298,0.820652,0.864058,0.75575,0.751852,0.975956,0.77178,0.87415,0.648754,0.746405,0.571429,0.565427,0.840264,0.844558,0.838624,0.851613,0.969295,0.883191,0.95619,0.964241,0.403443,0.890838,0.773387,0.69211,0.578125,0.850085,0.919025,0.75,0.748992,0.656829,0.555368,0.992766,0.934426,0.998646,0.92608,0.974357,0.964501,0.954634,0.653704,0.484513,0.858538,0.948418,0.6,0.967789,0.733746,0.757693,0.776042,0.933528,0.926817,0.813662,0.801136,0.913369,0.725,0.766595,0.549669,0.981907,0.77435,0.961609,0.822349,0.86864,0.589623,0.904703
Bagging-I-25..50-SMO,0.247859,0.969509,0.682996,0.713373,0.721951,0.8684,0.93694,0.778779,0.701299,0.966789,0.666667,0.655782,0.933883,0.489817,0.826475,0.767423,0.857609,0.754286,0.791204,0.969697,0.772714,0.812075,0.538551,0.736928,0.50974,0.542929,0.84351,0.830782,0.841975,0.854839,0.93406,0.88604,0.9475,0.950449,0.438338,0.872807,0.79052,0.580952,0.41875,0.853604,0.923535,0.75,0.808065,0.671296,0.57773,0.978395,0.934426,1,0.931451,0.984875,0.92801,0.975564,0.681482,0.475769,0.862138,0.92355,0.516667,0.938759,0.734778,0.754808,0.788462,0.914959,0.904108,0.795274,0.779167,0.919786,0.728409,0.766595,0.5421,0.983299,0.736761,0.959004,0.655219,0.866545,0.549682,0.925362
Bagging-I-25..50-VFI,0.156115,0.794782,0.527876,0.584071,0.605691,0.6256,0.786364,0.534914,0.677885,0.964643,0.52381,0.507937,0.817515,0.45499,0.802838,0.664855,0.837681,0.71425,0.747917,0.923497,0.655762,0.792411,0.627726,0.611656,0.571428,0.615151,0.812981,0.822449,0.803704,0.860645,0.971478,0.925356,0.958974,0.88204,0.181376,0.905437,0.621382,0.576811,0.479167,0.778379,0.668464,0.75,0.754032,0.503858,0.488166,0.972222,0.934426,0.999038,0.762716,0.82778,0.900138,0.788927,0.585714,0.392331,0.722036,0.777949,0.616666,0.734775,0.629257,0.694466,0.656517,0.867862,0.777999,0.76102,0.777778,0.941176,0.714286,0.887147,0.554399,0.663687,0.539514,0.931034,0.607323,0.592433,0.530391,0.90198
Bagging-I-25..50-ZeroR,0.164951,0.761693,0.542035,0.252212,0.326829,0.460933,0.906716,0.771845,0.702797,0.655222,0.419048,0.419048,0.700231,0.42702,0.630435,0.663043,0.555072,0.7,0.577778,0.306011,0.651042,0.425595,0.354421,0.735294,0.477041,0.390692,0.544554,0.639456,0.555556,0.793548,0.922853,0.641026,0.333333,0.522215,0.162283,0.649123,0.040488,0.57971,0.397321,0.547297,0.492552,0.500463,0.502304,0.671296,0.621302,0.527778,0.508197,0.517971,0.333333,0.101349,0.89768,0.10397,0.711111,0.247788,0.238059,0.142857,0.6,0.938759,0.272446,0.310507,0.533654,0.132504,0.605955,0.795539,0.5,0.919786,0.5,0.518809,0.332597,0.653445,0.256571,0.613793,0.090909,0.3384,0.311995,0.405941
Bagging-I-50..75-ConjunctiveRule,0.215971,0.83235,0.542035,0.464602,0.471219,0.809778,0.906716,0.771845,0.702797,0.943062,0.567858,0.571429,0.700231,0.42702,0.813315,0.802649,0.855072,0.7,0.678009,0.50765,0.73291,0.645833,0.561415,0.735294,0.589286,0.551653,0.79593,0.808673,0.805291,0.793548,0.967338,0.835794,0.930303,0.660513,0.222662,0.780702,0.11695,0.599034,0.451389,0.758108,0.872364,0.75,0.733871,0.671296,0.621302,0.921991,0.886066,0.886755,0.6625,0.268822,0.931299,0.205574,0.711111,0.266224,0.440163,0.567196,0.6,0.979056,0.674923,0.534709,0.738199,0.261452,0.818252,0.795539,0.74375,0.919786,0.704687,0.639655,0.472682,0.679541,0.540041,0.955904,0.324916,0.607927,0.406896,0.622772
Bagging-I-50..75-DecisionStump,0.217418,0.834571,0.547652,0.464602,0.458231,0.7344,0.906831,0.770631,0.748951,0.939676,0.570749,0.571429,0.700231,0.428227,0.815217,0.80462,0.855072,0.7,0.694136,0.502732,0.734954,0.645833,0.498442,0.732026,0.614796,0.566162,0.806518,0.808673,0.775,0.810968,0.953196,0.830614,0.908889,0.660513,0.222412,0.836257,0.105581,0.626731,0.53125,0.752457,0.849783,0.75,0.733871,0.671296,0.614793,0.841821,0.883197,0.886755,0.6625,0.229855,0.931299,0.205172,0.70505,0.289313,0.440021,0.563636,0.633333,0.965536,0.674923,0.534709,0.735096,0.284956,0.791703,0.795539,0.744318,0.919786,0.7025,0.623824,0.505858,0.699374,0.404551,0.956322,0.306869,0.592413,0.406896,0.625742
Bagging-I-50..75-DecisionTable,0.257625,0.988122,0.652655,0.73641,0.778612,0.863771,0.911727,0.768204,0.704254,0.956877,0.5,0.51746,0.921731,0.511965,0.850932,0.804952,0.857681,0.711,0.637531,0.918944,0.754143,0.822704,0.695223,0.742424,0.581633,0.675,0.821782,0.794461,0.834392,0.821701,0.993467,0.906933,0.949091,0.978723,0.472524,0.85575,0.788454,0.609855,0.534722,0.795045,0.896723,1,0.961981,0.671296,0.619823,0.996817,0.934426,1,0.945259,0.908298,0.963754,0.90481,0.692222,0.382217,0.862853,0.961317,0.577778,0.975936,0.717879,0.747399,0.766026,0.914105,0.930746,0.797398,0.776136,0.919786,0.733333,0.650918,0.524282,0.725209,0.702325,0.954023,0.891703,0.8084,0.580679,0.89659
Bagging-I-50..75-HyperPipes,0.141181,0.956093,0.587389,0.637168,0.650407,0.487289,0.930827,0.765777,0.669581,0.964807,0.609524,0.585185,0.700231,0.425238,0.722438,0.712345,0.559662,0.7,0.784877,0.962552,0.693182,0.801091,0.542523,0.728291,0.577381,0.522727,0.70297,0.715522,0.699506,0.834409,0.939488,0.380545,0.934074,0.543537,0.099658,0.907018,0.35171,0.501449,0.54375,0.723938,0.601078,0.75,0.726959,0.671296,0.619987,0.472222,0.644262,0.997649,0.627662,0.744459,0.934332,0.52051,0.684445,0.305605,0.619129,0.827316,0.577778,0.938582,0.687307,0.702314,0.710336,0.886774,0.777947,0.797398,0.686364,0.934046,0.7,0.900506,0.49117,0.346555,0.445458,0.678851,0.44495,0.645017,0.434748,0.917746
Bagging-I-50..75-IB1,0.208588,0.980095,0.5625,0.753872,0.765854,0.8646,0.923881,0.724029,0.717483,0.958798,0.654286,0.65974,0.929181,0.447556,0.817158,0.65788,0.845507,0.7258,0.740741,0.951093,0.719308,0.844122,0.705607,0.707516,0.471429,0.724432,0.783416,0.788806,0.76037,0.811144,0.926733,0.859449,0.959333,0.968711,0.686012,0.862839,0.962175,0.626915,0.427083,0.827703,0.846811,0.990741,0.803428,0.553872,0.56568,0.984085,0.826502,1,0.949548,0.986958,0.962361,0.993574,0.667901,0.409292,0.910081,0.968645,0.6,0.961029,0.698314,0.725006,0.864183,0.91142,0.917366,0.735316,0.7125,0.885918,0.68125,0.791402,0.599811,0.980863,0.711978,0.926897,0.982604,0.776578,0.552965,0.95297
Bagging-I-50..75-IBk,0.21527,0.985454,0.570133,0.755531,0.738537,0.861227,0.922175,0.719903,0.728226,0.959514,0.646753,0.653333,0.94512,0.458248,0.815994,0.649117,0.848913,0.7292,0.736574,0.951366,0.713441,0.813691,0.703908,0.69862,0.5,0.67316,0.804547,0.785714,0.761111,0.815484,0.928534,0.859687,0.958333,0.969775,0.71544,0.89693,0.961936,0.625443,0.419643,0.831081,0.854862,0.996759,0.790323,0.559799,0.552663,0.98894,0.820697,1,0.979916,0.986819,0.962543,0.993814,0.664444,0.406172,0.90962,0.96525,0.6,0.961355,0.689076,0.733302,0.865865,0.917381,0.919076,0.732342,0.7425,0.889229,0.676786,0.791473,0.6078,0.987474,0.707178,0.925452,0.992171,0.742,0.546373,0.960396
Bagging-I-50..75-J48,0.25012,0.981556,0.747156,0.776549,0.749756,0.861943,0.935482,0.769418,0.744755,0.959466,0.666667,0.636054,0.921296,0.54169,0.855299,0.663043,0.864427,0.749125,0.578063,0.959762,0.754948,0.852182,0.73014,0.736228,0.692857,0.816498,0.807343,0.809038,0.82381,0.829391,0.994698,0.925926,0.949167,0.990989,0.5868,0.833333,0.930422,0.731594,0.554688,0.808968,0.899001,0.973545,0.764785,0.671296,0.604142,0.987461,0.927869,1,0.962172,0.961166,0.971953,0.982245,0.708889,0.436578,0.903542,0.971862,0.573333,0.987805,0.719298,0.742495,0.782544,0.755414,0.941379,0.811235,0.798958,0.919786,0.722917,0.942096,0.606215,0.919885,0.755641,0.958621,0.899541,0.83695,0.616324,0.930693
Bagging-I-50..75-JRip,0.258559,0.977043,0.74281,0.737731,0.771707,0.876114,0.9375,0.769071,0.738345,0.965844,0.643537,0.633333,0.874306,0.542747,0.858308,0.832686,0.862526,0.727143,0.736869,0.937614,0.765253,0.836012,0.703908,0.742127,0.621428,0.825758,0.846535,0.812169,0.837778,0.817419,0.992013,0.916343,0.953333,0.991841,0.422239,0.857143,0.668059,0.704348,0.52006,0.814865,0.897484,1,0.970046,0.671296,0.587771,0.975984,0.934426,0.999754,0.854873,0.970166,0.972796,0.980319,0.711111,0.422567,0.891602,0.971614,0.555556,0.981973,0.738249,0.745075,0.774778,0.923743,0.93553,0.81852,0.7875,0.916577,0.738889,0.954232,0.562914,0.983299,0.743499,0.956782,0.865432,0.850778,0.604522,0.890189
Bagging-I-50..75-LMT,0.267896,0.990534,0.731195,0.823378,0.75122,0.920533,0.914997,0.76962,0.723077,0.963519,0.689796,0.669048,0.966435,0.527042,0.847199,0.826993,0.866123,0.751,0.788426,0.975182,0.768415,0.876275,0.719159,0.739787,0.589286,0.816919,0.839017,0.837415,0.835802,0.847926,0.994546,0.922365,0.955555,0.993429,0.422239,0.892231,0.668059,0.734894,0.549107,0.84375,0.917997,0.958719,0.767473,0.635995,0.602811,1,0.934426,0.999446,0.971219,0.974555,0.974707,0.990402,0.640278,0.483776,0.780241,0.969481,0.577778,0.990036,0.720846,0.755722,0.787722,0.934663,0.943137,0.827137,0.788462,0.916444,0.73125,0.766595,0.599037,0.981037,0.828408,0.960919,0.947643,0.867062,0.609164,0.912871
Bagging-I-50..75-Logistic,0.233179,0.991943,0.642478,0.752212,0.764728,0.890844,0.912164,0.769418,0.688812,0.963917,0.619841,0.645238,0.934124,0.511126,0.816848,0.767663,0.853478,0.7549,0.79213,0.968579,0.773698,0.873677,0.649533,0.745098,0.588095,0.583333,0.833333,0.832908,0.837449,0.849769,0.972539,0.88604,0.948889,0.975773,0.422239,0.932331,0.77365,0.686957,0.497768,0.837838,0.904874,0.75,0.729839,0.660301,0.544379,1,0.922131,0.999951,0.925298,0.967133,0.966746,0.956383,0.631481,0.43031,0.861928,0.95974,0.533333,0.967745,0.721081,0.749218,0.773602,0.931186,0.929218,0.80612,0.75625,0.897505,0.6725,0.766595,0.551561,0.981907,0.807221,0.95977,0.832035,0.865533,0.590297,0.852723
Bagging-I-50..75-LWL,0.227053,0.94837,0.56121,0.520649,0.591463,0.765,0.921828,0.771845,0.747253,0.943184,0.682539,0.65641,0.700231,0.497139,0.815844,0.822981,0.855072,0.7,0.696502,0.900273,0.738281,0.673549,0.598798,0.740896,0.541667,0.748485,0.812981,0.798753,0.803704,0.808871,0.953075,0.832384,0.954286,0.817316,0.262957,0.880383,0.668059,0.660647,0.576705,0.768581,0.868598,0.75,0.748848,0.671296,0.61407,0.972222,0.934426,0.972715,0.879192,0.774555,0.931299,0.679237,0.709876,0.418879,0.753499,0.850313,0.616667,0.965536,0.722394,0.706208,0.775481,0.586302,0.81341,0.795539,0.783333,0.919786,0.688462,0.884378,0.561022,0.698852,0.538515,0.956322,0.486247,0.647175,0.408962,0.874587
Bagging-I-50..75-MultilayerPerceptron,0.274854,0.986266,0.625451,0.789993,0.771274,0.92672,0.914997,0.753972,0.70338,0.965522,0.692381,0.680952,0.984458,0.543109,0.846241,0.719432,0.861427,0.7645,0.69366,0.971463,0.766927,0.873347,0.688084,0.723202,0.546703,0.743266,0.839109,0.823129,0.83287,0.849462,0.94683,0.889364,0.956111,0.990926,0.668342,0.894737,0.668059,0.719928,0.463942,0.833863,0.774055,1,0.919355,1,0.972235,1,0.921676,1,0.999449,0.983986,0.966401,0.950749,0.628889,0.46116,0.908839,0.966486,0.55,0.975754,0.716497,0.738743,0.823558,0.935212,0.929091,0.815365,0.76,0.889483,0.72125,0.766595,0.605408,0.981675,0.83973,0.955556,0.939663,0.863625,0.60967,0.945164
Bagging-I-50..75-NaiveBayes,0.239071,0.882725,0.660767,0.605642,0.586342,0.9042,0.841542,0.74338,0.732518,0.960372,0.653333,0.664469,0.850405,0.5025,0.782065,0.673274,0.783333,0.753727,0.723737,0.968352,0.766493,0.863653,0.518332,0.75817,0.566964,0.724026,0.831023,0.834014,0.842798,0.841936,0.954212,0.823679,0.954667,0.881101,0.359638,0.885965,0.64205,0.561675,0.520833,0.82915,0.899556,0.75,0.772581,0.667824,0.559763,0.972222,0.934426,0.950499,0.902878,0.912989,0.907463,0.857328,0.678704,0.489676,0.795816,0.804906,0.641667,0.928261,0.660475,0.743316,0.700721,0.910037,0.798993,0.724535,0.772917,0.858532,0.7225,0.95357,0.539735,0.694914,0.470975,0.898391,0.642803,0.79994,0.579346,0.946895
Bagging-I-50..75-NaiveBayesUpdateable,0.239351,0.884711,0.656527,0.626106,0.595664,0.902756,0.83806,0.751307,0.72977,0.960181,0.660714,0.669048,0.842593,0.504141,0.78091,0.670516,0.781988,0.7546,0.719444,0.968731,0.764757,0.86182,0.518024,0.757164,0.571429,0.723906,0.832283,0.833333,0.842592,0.841688,0.954401,0.82443,0.954444,0.880538,0.358765,0.915205,0.642519,0.557971,0.496094,0.832432,0.904717,0.75,0.775538,0.667824,0.566971,0.972222,0.934426,0.953948,0.902701,0.913381,0.914325,0.856841,0.683334,0.486936,0.795723,0.806385,0.65,0.928464,0.659001,0.740775,0.692909,0.92079,0.798006,0.731103,0.781944,0.8623,0.725,0.953814,0.539735,0.696416,0.462175,0.899713,0.65225,0.79996,0.578757,0.942394
Bagging-I-50..75-NBTree,0.252963,0.980327,0.625451,0.725221,0.781951,0.859636,0.935137,0.767652,0.741842,0.972948,0.67619,0.655556,0.93844,0.530805,0.840489,0.712258,0.875507,0.762286,0.771653,0.979403,0.761863,0.86526,0.758411,0.745098,0.553572,0.75974,0.830033,0.836054,0.834259,0.858986,0.993448,0.924631,0.951111,0.986952,0.422239,0.904762,0.668059,0.698024,0.515625,0.870496,0.891509,1,0.914516,0.666204,0.622147,0.993056,0.934426,1,0.972171,0.774011,0.973171,0.988901,0.684127,0.480236,0.838085,0.98088,0.648485,0.983651,0.737874,0.750981,0.845673,0.937921,0.948975,0.815365,0.8,0.893583,0.7225,0.955224,0.562914,0.93272,0.745272,0.956979,0.94697,0.851933,0.594339,0.940594
Bagging-I-50..75-NNge,0.256284,0.990813,0.622511,0.674779,0.781098,0.880356,0.932338,0.763592,0.70979,0.965665,0.515476,0.455782,0.955247,0.513797,0.836141,0.700272,0.859157,0.7516,0.721399,0.959016,0.760938,0.872711,0.699377,0.72549,0.55102,0.777548,0.846122,0.806384,0.843915,0.841687,0.98754,0.931624,0.958333,0.986337,0.658362,0.894737,0.941322,0.699638,0.484375,0.814672,0.65912,1,0.888563,0.488889,0.580868,0.999711,0.934426,0.999828,0.973819,0.965814,0.968908,0.981377,0.653968,0.444543,0.894246,0.9671,0.54359,0.973224,0.709597,0.727811,0.734615,0.921303,0.941172,0.797398,0.780357,0.923351,0.717187,0.525862,0.646969,0.937457,0.686407,0.958621,0.960732,0.848578,0.608041,0.954208
Bagging-I-50..75-OneR,0.25542,0.836303,0.551438,0.464602,0.550677,0.7226,0.906716,0.771845,0.694215,0.932966,0.152381,0.152381,0.700231,0.477689,0.815217,0.669837,0.855072,0.6953,0.46142,0.521858,0.733259,0.656888,0.594237,0.733987,0.52381,0.688131,0.760726,0.791383,0.781852,0.83695,0.966127,0.87265,0.947111,0.673381,0.247968,0.833333,0.18565,0.608696,0.479167,0.748311,0.5,0.75,0.732527,0.671296,0.580539,0.805556,0.778689,0.985229,0.709722,0.364413,0.936933,0.417402,0.704938,0.271386,0.605754,0.693507,0.68,0.963639,0.612722,0.614447,0.71875,0.406845,0.792328,0.795877,0.73125,0.919786,0.70375,0.242477,0.509332,0.699374,0.522196,0.956322,0.388664,0.591613,0.406045,0.425743
Bagging-I-50..75-PART,0.254748,0.983977,0.751659,0.8125,0.749187,0.8986,0.931717,0.76962,0.742066,0.963519,0.647619,0.638095,0.962481,0.539872,0.857337,0.663043,0.870435,0.763571,0.589683,0.967555,0.7558,0.866072,0.724299,0.736746,0.7,0.803031,0.840347,0.821672,0.821296,0.821505,0.995573,0.929182,0.9475,0.992334,0.422239,0.833333,0.936712,0.741159,0.571429,0.852317,0.902358,1,0.930352,0.717593,0.635109,0.997942,0.931148,0.999938,0.997473,0.969299,0.974217,0.985683,0.686667,0.445006,0.908285,0.970103,0.58,0.984822,0.729323,0.744934,0.794338,0.928136,0.953216,0.819196,0.79375,0.906035,0.746429,0.939577,0.604121,0.976108,0.74409,0.960153,0.879663,0.850583,0.619525,0.926293
Bagging-I-50..75-RandomForest,0.259756,0.992508,0.636062,0.761062,0.826341,0.85824,0.915298,0.760437,0.726107,0.969063,0.541799,0.521429,0.944187,0.534701,0.859239,0.669837,0.867826,0.7648,0.7,0.963895,0.757324,0.866246,0.783178,0.70207,0.648809,0.807851,0.834984,0.817177,0.837037,0.847643,0.991887,0.933761,0.9575,0.98665,0.422239,0.877193,0.668059,0.731884,0.4375,0.831757,0.921226,0.998071,0.900922,0.540046,0.55424,1,0.937705,1,0.984086,0.980906,0.974811,0.98933,0.667593,0.446608,0.91333,0.97368,0.58,0.98184,0.724458,0.736398,0.815705,0.925539,0.952972,0.809944,0.808333,0.920272,0.726786,0.766595,0.675497,0.934029,0.747488,0.96523,0.9789,0.857029,0.620901,0.917492
Bagging-I-50..75-RandomTree,0.252215,0.990932,0.593431,0.782694,0.793903,0.857018,0.931683,0.761327,0.728862,0.970775,0.620408,0.631169,0.910417,0.509693,0.835938,0.688179,0.863561,0.7377,0.796502,0.964091,0.744792,0.863839,0.785981,0.711764,0.634921,0.795455,0.825633,0.818027,0.815638,0.834839,0.968338,0.920584,0.946667,0.97841,0.683775,0.868421,0.943075,0.735688,0.440625,0.848894,0.811911,0.984028,0.84543,0.554977,0.568047,0.995602,0.899404,1,0.970503,0.970463,0.972575,0.987736,0.669445,0.436578,0.905339,0.969107,0.583333,0.971368,0.712074,0.735178,0.82658,0.922176,0.950391,0.797862,0.7575,0.927273,0.7,0.719749,0.652318,0.885177,0.741304,0.952235,0.962424,0.829371,0.622396,0.951395
